junction_id,llm_calls,llm_overrides,mean_reward,total_reward
intersection_7_6,0,0,-0.0128,-4.6146
intersection_7_7,0,0,-0.0421,-15.1406
intersection_7_8,0,0,-0.0269,-9.6969
intersection_7_9,0,0,-0.063,-22.6719
intersection_7_10,0,0,-0.0394,-14.1745
intersection_7_11,0,0,-0.0178,-6.4203
intersection_7_12,0,0,-0.045,-16.1958
intersection_7_13,0,0,-0.0448,-16.1219
intersection_7_14,0,0,-0.0835,-30.0422
intersection_7_15,0,0,-0.0806,-29.0135
intersection_7_16,0,0,-0.0467,-16.8068
intersection_7_17,0,0,-0.0765,-27.5547
intersection_7_18,1,0,-0.0535,-19.2526
intersection_7_19,0,0,-0.0861,-30.988
intersection_7_20,0,0,-0.0617,-22.2198
intersection_7_21,0,0,-0.0374,-13.4589
intersection_7_22,3,1,-0.0583,-21.0036
intersection_7_23,0,0,-0.0341,-12.2682
intersection_7_24,1,0,-0.0172,-6.1776
intersection_7_25,3,0,-0.024,-8.638
intersection_7_26,1,0,-0.0145,-5.2063
intersection_7_27,2,0,-0.0117,-4.2063
intersection_7_28,2,1,-0.0562,-20.2344
